ID,Gender,Age,Education,Profession,Kids,Consumption,Main Arg,Args,Explanation,Other Arg
P1,Female,,University Degree,Student,0,1-2 times per week,Other,"A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A122 Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.","Since I dont eat that much meat, the environmental arguments make an impact on me as it concerns us all, no matter how much we eat per week",I only eat meat at restaurants where I want to order meat because it's well made and avoid answering questions about my eating choices
P2,Male,25-34,High School,Other,1,3-4 times per week,Other,"A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A163 You could start with one or two meat free days a week where you try out a different recipe or use a meat substitute. Once you get used to it and find the recipes/substitutes you like, you can increase the number of days.;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.;A168 Try a vegetarian alternative for family meal-times, replacing meat with a vegetarian option. For example; shepherd's pie or spaghetti bolognese can easily be made with vegetarian mince, making a tasty meat free alternative.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A165 Try cuisines that already cater well to vegetarians - Indian food for example.;A122 Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.",Because I'm looking into a vegan lifestyle and diet,Just brought up in a meat eating household
P3,Male,18-25,University Degree,Student,0,3-4 times per week,Other,"A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A163 You could start with one or two meat free days a week where you try out a different recipe or use a meat substitute. Once you get used to it and find the recipes/substitutes you like, you can increase the number of days.;A168 Try a vegetarian alternative for family meal-times, replacing meat with a vegetarian option. For example; shepherd's pie or spaghetti bolognese can easily be made with vegetarian mince, making a tasty meat free alternative.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.",Because I was taught that meat is a necessary part of a healthy diet. If it's actually unhealthy I feel lied to.,It's all I know how to cook with or can afford.
P4,Female,35-44,High School,Manual Worker,2,5-6 times per week,Other,"A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A122 Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.",I know it's bad both for me and the environment. I would like to eat much less,my kids eat it
P5,Male,18-25,High School,Professional,0,1-2 times per week,Other,"A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A163 You could start with one or two meat free days a week where you try out a different recipe or use a meat substitute. Once you get used to it and find the recipes/substitutes you like, you can increase the number of days.;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.;A168 Try a vegetarian alternative for family meal-times, replacing meat with a vegetarian option. For example; shepherd's pie or spaghetti bolognese can easily be made with vegetarian mince, making a tasty meat free alternative.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A165 Try cuisines that already cater well to vegetarians - Indian food for example.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.","Personal health without dipping into conspiracy territory is important. Also, the environment may not actually be helped as much as we think by reducing meat because of the intensive increasing of crop land needs, so I'm not entirely sold on those arguments.","My girlfriend needs to, as she can't eat most plants. And that makes separating foods cost prohibitive since meat is cheaper in bulk."
P6,Female,25-34,Other,Non working,0,Once a day,Other,"A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A122 Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.","I care about my health, the environment, and the living conditions of the animals used for meat.","My boyfriend insists on eating meat, and I do our cooking. Its too inconvenient to find vegetarian meals for just me."
P7,Female,45-54,High School,Manual Worker,0,1-2 times per week,Other,"A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A163 You could start with one or two meat free days a week where you try out a different recipe or use a meat substitute. Once you get used to it and find the recipes/substitutes you like, you can increase the number of days.;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.;A168 Try a vegetarian alternative for family meal-times, replacing meat with a vegetarian option. For example; shepherd's pie or spaghetti bolognese can easily be made with vegetarian mince, making a tasty meat free alternative.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A165 Try cuisines that already cater well to vegetarians - Indian food for example.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.","I believe that long term, eating meat is not healthy.","I eat meat while i'm out, mainly McDonalds, for convenience"
P8,Female,35-44,University Degree,Other,1,1-2 times per week,Health,"A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A163 You could start with one or two meat free days a week where you try out a different recipe or use a meat substitute. Once you get used to it and find the recipes/substitutes you like, you can increase the number of days.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.;A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A13 Processed meat is not healthy and consuming meat on a daily basis (or even several times a day) isn't either. Reducing your meat consumption and substituting it with fresh vegetables and grains will contribute to a much more balanced diet.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A20 meat is known to cause higher risk of heart disease;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.;A165 Try cuisines that already cater well to vegetarians - Indian food for example.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.",I have always tried to keep the meat I eat to a minimum and ensure I source it locally organically and ethically ,NAN
P9,Male,18-25,High School,Student,0,1-2 times per week,Health,"A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A163 You could start with one or two meat free days a week where you try out a different recipe or use a meat substitute. Once you get used to it and find the recipes/substitutes you like, you can increase the number of days.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.;A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A168 Try a vegetarian alternative for family meal-times, replacing meat with a vegetarian option. For example; shepherd's pie or spaghetti bolognese can easily be made with vegetarian mince, making a tasty meat free alternative.;A122 Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A171  Meat is unhealthy because please tick this box as this is a concentration test.",As an environmental student eating meat can be conflicting ,NAN
P10,Female,18-25,High School,Student,0,5-6 times per week,Health,"A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A171  Meat is unhealthy because please tick this box as this is a concentration test.",I thought I was supposed to check that box ,NAN
