Arg ID,Arg Topic,Arg Giver (V/NV),Arg,Vote NV
arg1,Balanced DietNV,,I am not a doctor and cannot advice on what is healthy and what isn't but I am sure that a balanced vegetarian diet is just as healthy,9
arg2,Balanced DietNV,NV,Processed meat is not healthy. Eating too much meat is not healthy either. Vegetarian options should be the norm and meat should be eaten rarely (if at all). That is a balanced diet.,9
arg3,Balanced DietNV,NV,Non-organic meat is not healthy. It contains a lot of antibiotics and is low in nutritional value because the animals were not fed a diverse diet. You can replace processed meat with organic meat and/or vegetables and grains for a more healthy and balanced diet,4
arg4,Balanced DietNV,NV,"That is not necessarily true, especially for processed meat. Replacing it with vegetables, nuts and grains would contribute just as much (if not more) to a balanced diet",9
arg5,Balanced DietNV,NV,Eating vegetables and decreasing carbohydrates has been proven more effective at a balanced diet than eating meat.,5
arg6,Balanced DietNV,NV,red meat is not healthy and there are many other choices outside of meat that are healthy and balanced,5
arg7,Balanced DietNV,NV,not all meat is healthy and only contributes to a balanced diet if it is not processed too much.,10
arg8,Balanced DietNV,NV,A healthy diet can be easily created without having to eat meat. Nutritionists can help with balancing food intake and with a healthy variety.,11
arg9,Balanced DietNV,NV,Only if eaten in moderation.,12
arg10,Balanced DietNV,NV,Generally meat is not healthy due to high levels of processing,3
arg11,Balanced DietNV,V,"Eating meat every day is not healthy (even if its high quality/organic meat). Our ancestors also did not eat meat in such quantities as we consume today. They ate much more berries, mushrooms and starchy vegetables than we eat today.",10
arg12,Balanced DietNV,V,"Meat does more harm than good if you buy it processed and non-organic. Cutting processed, un-organic meat out of your diet will be more healthy than eating it. Replacing it with a variety it vegetables and grains will make your diet more balanced",4
arg13,Balanced DietNV,V,Processed meat is not healthy and consuming meat on a daily basis (or even several times a day) isn't either. Reducing your meat consumption and substituting it with fresh vegetables and grains will contribute to a much more balanced diet.,12
arg14,Balanced DietNV,V,A diet can be very healthy and balanced with or without meat,8
arg15,Balanced DietNV,V,"Pulses, such as lentils, grains, fruits, vegetables, and vegetarian options such as tofu are also healthy, and contribute equally well to a balanced diet.",10
arg16,Balanced DietNV,V,Most meat isn't healthy and causes more problems in the body as it isn't designed to digest it properly,2
arg17,Balanced DietNV,V,"You can joy just as balanced a diet with other foods, and health benefits of food such as protein and iron can just as easily be got with foods such as spinach or nuts.",2
arg18,Balanced DietNV,V,A well balanced diet of vegetarian foods is easy,6
arg19,Balanced DietNV,V,"But, it isn't a necessary part of a human diet at this point. Most meats also contain a large number of saturated fats--which we consume in too large of amounts.",6
arg20,Balanced DietNV,V,meat is known to cause higher risk of heart disease,12
arg21,Filling,NV,"Potatoes, rice and meat substitutes are filling too, even if you have to eat slightly more of it.",12
arg22,Filling,NV,Eat more vegetables/grains and you will be filled up too.,11
arg23,Filling,NV,Potatoes and other starchy vegetables and grains and beans are filling too.,13
arg24,Filling,NV,Other food is filling too (like grains),9
arg25,Filling,NV,Starches and vegetables are just as filling.,5
arg26,Filling,NV,there are many options that will fill you up without meat,11
arg27,Filling,NV,meat is not always filling and other foods can be just as filling due to their fibre content without the saturated fat of some meats.,8
arg28,Filling,NV,Different foods can be used as a staple of meals too. The texture can even be somewhat replicated if you do some research for recipes that's be to your taste.,7
arg29,Filling,NV,You are not supposed to eat until you are full.,6
arg30,Filling,NV,Generally it is the various other items with the meal that are filling rather than meat.,5
arg31,Filling,V,Replacing meat doesn't mean replacing it with a salad. Replace it with mock meat or grain/starchy vegetables and your vegetarian meal will fill you up the same way your non-vegetarian did.,15
arg32,Filling,V,You can make a very filling meal without using meat. If potatoes don't fill you up I don't know what does.,10
arg33,Filling,V,Grains and Potatoes are just as filling. Reducing meat consumption doesn't mean chewing on celery and carrots all the time. You can make a very filling vegetarian risotto or stew without having to add meat.,16
arg34,Filling,V,Meat would ruin my meal and carbs are the portion of a meal which are filling,2
arg35,Filling,V,"A vegetarian alternative, such as mixed lentils and rice also provide a complete, and very filling, meal.",9
arg36,Filling,V,That isn't a good enough reason for eating meat,3
arg37,Filling,V,"A traditional meal would be meat, potato, and 2 veg, yes. But, in modern times a filling and healthy meal is easy with different meals such as indian or italian.",7
arg38,Filling,V,there are many ways to fill up that don't include meat,9
arg39,Filling,V,"Meat is filling, but think about it like this: if you don't eat meat, you can eat a much greater volume of food because vegetables and grains are low calorie! I'm also willing to bet that sometimes you eat meals that don't contain any meat, like cheese pizza.",11
arg40,Filling,V,only because thats what you have been told meat is not needed to have a complete meal,3
arg41,Nutrition,NV,All natural foods have nutritional value. Protein can be found in dairy products and some vegetables,15
arg42,Nutrition,NV,You can get source from dairy products,3
arg43,Nutrition,NV,Leafy greens have an even higher nutritional value than meat. Protein can also be found in plants and dairy.,10
arg44,Nutrition,NV,"There are vegetables with much higher nutritional value than meat. Regarding the protein, cottage cheese has a lot of protein and you can eat more of it than meat which would in the end amount to the same protein intake",9
arg45,Nutrition,NV,"The protein content of beans, tofu and potatoes are just as nutritional if not more so than meat.",7
arg46,Nutrition,NV,you can get protein from plants,7
arg47,Nutrition,NV,"It does not always have good nutritional value, especially red meat due to its saturated fat content.",2
arg48,Nutrition,NV,Other fruit and vegtables contain high amounts of protein such as cheese and some types of nuts.,5
arg49,Nutrition,NV,I get nutrition from fruit and vegitables and I get less fat and bad cholestrol from them.,6
arg50,Nutrition,NV,Other sources of food such as nuts can provide protein and far higher nutritional value,13
arg51,Nutrition,V,Replacing meat doesn't mean replacing it with a salad. Replace it with mock meat or grain/starchy vegetables and your vegetarian meal will fill you up the same way your non-vegetarian did.,15
arg52,Nutrition,V,You can make a very filling meal without using meat. If potatoes don't fill you up I don't know what does.,10
arg53,Nutrition,V,Grains and Potatoes are just as filling. Reducing meat consumption doesn't mean chewing on celery and carrots all the time. You can make a very filling vegetarian risotto or stew without having to add meat.,16
arg54,Nutrition,V,Meat would ruin my meal and carbs are the portion of a meal which are filling,1
arg55,Nutrition,V,"A vegetarian alternative, such as mixed lentils and rice also provide a complete, and very filling, meal.",8
arg56,Nutrition,V,That isn't a good enough reason for eating meat,2
arg57,Nutrition,V,"A traditional meal would be meat, potato, and 2 veg, yes. But, in modern times a filling and healthy meal is easy with different meals such as indian or italian.",6
