ArgID,ArgType,Argument
A121,NIC,"Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering."
A122,NIC,Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.
A123,NIC,"If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow."
A124,NIC,Meat consumption leads to more C02 released causing climate change
A125,NIC,"More animals means more resources - transportation of livestock, utilities to house the animals etc."
A126,NIC,Our world cannot sustain the meat production whilst our gashouse emissions are increasing and disease is spreading amongst farmed animals and posing a risk to jumping the species gap. We need to use our water and grain to feed the starving people of the world and not animals that are born into slavery for consumption.
A127,NIC,Methane gas produced by livestock adds to hole in ozone layer
A128,NIC,Intense farming is having catastrophic effects on the planet and the animals that are dragged through the killing process. Animals are treated and slaughtered in dreadful conditions.
A129,NIC,"In order to provide meat, animals are bred against their will, raised with a poor quality of life and then slaughtered at an early age."
A130,NIC,Innocent animals are killed.
A131,NPC,It may make you antibiotic resistant since the antibiotics that we depend on to treat human illnesses are now used to promote growth in animals and to keep them alive in horrific living conditions that would otherwise kill them
A132,NPC,Meat consumption leads to environmental degradation
A133,NPC,"Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat."
A134,NPC,Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.
A135,NPC,"Meat consumption was linked to cancer, heart disease and diabetes."
A136,NPC,"Red meats have been proven to have negative effects on the human digestive system, causing harm with potential illness."
A137,NPC,"Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure."
A138,NPC,"Eating a lot of meat, especially red meat has been linked with many health issues."
A139,NPC,Higher incidence of cancers such as colon
A140,NPC,Heart Disease
A141,PIC,"Reducing meat consumption will lead to less deforestation, water shortages, greenhouse emissions, not to mention animal cruelty"
A142,PIC,Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.
A143,PIC,"The less meat people eat, the less land being cleared for livestock which means more forests etc & more biodiversity"
A144,PIC,"If we produce fewer meat products, we will be able to reclaim land for wildlife and farm for crops that can feed animals and people."
A145,PIC,"The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too."
A146,PIC,Reducing meat consumption will lead to less animal cruelty
A147,PIC,Reducing meat consumption is better for the ozone layer due to less cow methane.
A148,PIC,"Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation."
A149,PIC,People eating less meat means more land can be used for arable farming which is better for the environment than raising cattle as it is carbon neutral.
A150,PIC,"If you eat less meat, less animals would be put through a torturous life and early death."
A151,PPC,"If you reduce your meat consumption you will live a potentially longer life, broaden your cuilinary horizons."
A152,PPC,"You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption."
A153,PPC,IF you eat less meat you will lower your risk of food poisoning since it's more commonly contracted from meat.
A154,PPC,Eating less meat results in better digestion and less constipation
A155,PPC,"Reducing the consumption of (processed) meat and substituting it with mock meat and better with vegetables, grains and mushrooms will increase the diversity in your diet, provide you with a higher variety of nutrients and reduce your intake of hormones and saturated fat."
A156,PPC,If you eat less meat you will lose weight.
A157,PPC,You will decrease your chance to get diabetes.
A158,PPC,"Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired."
A159,PPC,"Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied."
A160,PPC,"If you eat less meat you will have a clear conscience, knowing you're not adding to the unnecessary suffering that the meat industry creates."
A161,SUG,"When you have time on a weekend, try to cook a vegetarian meal you always wanted to try. If you like it - try to replace one of your meals where you would usually eat meat with it. Repeat this process until you can replace most/all of your meat meals with vegetarian meals."
A162,SUG,You could substitute all your meat with mock meat for a week. Then you could slowly switch from mock meat to less processed vegetarian options.
A163,SUG,"You could start with one or two meat free days a week where you try out a different recipe or use a meat substitute. Once you get used to it and find the recipes/substitutes you like, you can increase the number of days."
A164,SUG,"Introduce meat alternatives such as Quorn products into your diet, you can then gradually reduce the amount of meat you eat by eating substitutes instead."
A165,SUG,Try cuisines that already cater well to vegetarians - Indian food for example.
A166,SUG,Start with meat substitutes like quorn so you dont feel like you are missing the taste & texture of meat
A167,SUG,"Switch to meat-free alternatives (Linda McCartney, Quorn etc)"
A168,SUG,"Try a vegetarian alternative for family meal-times, replacing meat with a vegetarian option. For example; shepherd's pie or spaghetti bolognese can easily be made with vegetarian mince, making a tasty meat free alternative."
A169,SUG,"Try to eliminate one type of meat from your diet first. Pick one that you have not been very keen on and decide that you will aim to exclude that meat, ie: lamb, fish, from your diet from now on."
A170,SUG,Find meat alternative recipes of your favourite foods and try switching them over
,,
,,
highest voted,,
